title,company,location,source,job_type,seniority,is_remote,country,tech_stack
Product Designer,Sei Labs,"New York,NY,United States",web3.career,Product Manager,Mid,False,USA,
Director Product Design – Growth,Kraken,United States,web3.career,Product Manager,Lead,False,USA,
Junior Brand Designer,Nifty Gateway Studio,"New York,NY,United States",web3.career,Designer,Junior,False,USA,
Senior Brand Designer Art Director,Kraken,"London,United Kingdom",web3.career,Designer,Senior,False,UK,
Sr. Director Design Consumer,Kraken,United States,web3.career,Designer,Senior,False,USA,
Lead UI UX Designer Product Designer Cryptocurrency Financial Platm,Defituna,Switzerland,web3.career,Product Manager,Lead,False,Other,
Senior Product Designer MetaMask,Consensys,Remote,web3.career,Product Manager,Senior,True,Remote,
Director of Product Management MetaMask Core Extension UX,Consensys,Remote,web3.career,Product Manager,Lead,True,Remote,
Brand Designer,solflare,"Zagreb,Croatia",web3.career,Designer,Mid,False,Other,
Visual Designer Breakout Prop,Kraken,United States,web3.career,Designer,Mid,False,USA,
Senior Product Designer,CoinTracker,United States,web3.career,Product Manager,Senior,False,USA,
Design Director MetaMask Transactions,Consensys,Remote,web3.career,Designer,Lead,True,Remote,
Senior Product Designer,Blockworks,"New York,NY,United States",web3.career,Product Manager,Senior,False,USA,
UX Graphic Designer Crypto Trading Platm,Fuel Labs,Brazil,web3.career,Designer,Mid,False,Brazil,
Freelance Graphic Motion Designer Wanted Web3 Crypto Trading,Mach Diamonds,Remote,web3.career,Designer,Mid,True,Remote,
Associate Brand Designer,Gemini,"New York,NY,United States",web3.career,Designer,Mid,False,USA,
Senior Graphic Designer,Kiln,"Paris,France",web3.career,Designer,Senior,False,Other,
Design Engineer,Monad Foundation,United States,web3.career,Designer,Mid,False,USA,
Head of Design,Blockchain,Remote,web3.career,Designer,Lead,True,Remote,
Senior Product Designer,Superstate,"New York,NY,United States",web3.career,Product Manager,Senior,False,USA,
UX Researcher,Bitso,Latin America,web3.career,Designer,Mid,False,Other,
Senior Product Designer,Trilitech,"London,United Kingdom",web3.career,Product Manager,Senior,False,UK,
Graphic Designer [ContracttoPerm],Monad Foundation,United States,web3.career,Designer,Mid,False,USA,
Product Designer Mobile,Bitmex,Remote,web3.career,Product Manager,Mid,True,Remote,
Founding Product Designer,Allium,"New York,NY,United States",web3.career,Product Manager,Mid,False,USA,
Brand Designer,Zerion,Europe,web3.career,Designer,Mid,False,Other,
Senior Product Ops Designer,Kast,Remote,web3.career,Product Manager,Senior,True,Remote,
Senior UX UI Designer,Kast,Australia,web3.career,Designer,Senior,False,Other,
